Date,Price,Price,Dividend,Dividend,Earnings,Earnings,Cpi,CAPE
1914-06-01,8.13,251.3956136363636,0.45,13.91488636363636,0.575,17.78013257575757,9.9,11.428715168831886
1914-07-01,7.68,235.1059199999999,0.445,13.622673749999999,0.5658,17.320693949999995,10.0,10.694345183040136
1914-08-01,7.68,230.49599999999995,0.44,13.205499999999999,0.5567,16.70795875,10.2,10.492046265076436
1914-09-01,7.68,230.49599999999995,0.435,13.055437499999996,0.5475,16.43184375,10.2,10.500497301802131
1914-10-01,7.68,232.77813861386133,0.43,13.033150990099008,0.5383,16.315686460396037,10.1,10.61275946612622
1914-11-01,7.68,230.49599999999995,0.425,12.755312499999997,0.5292,15.882614999999998,10.2,10.51691764299212
1914-12-01,7.35,222.77595297029697,0.42,12.730054455445543,0.52,15.761019801980197,10.1,10.172217991997861
1915-01-01,7.48,226.71620792079204,0.4208,12.75430217821782,0.55,16.670309405940593,10.1,10.359834197757266
1915-02-01,7.38,225.92209499999996,0.4217,12.909396675,0.58,17.755394999999996,10.0,10.32978620966069
1915-03-01,7.57,234.07931060606055,0.4225,13.064532196969692,0.61,18.86240151515151,9.9,10.70701318868281
1915-04-01,8.14,249.187785,0.4233,12.958377074999998,0.64,19.592159999999996,10.0,11.401123789000183
1915-05-01,7.95,240.9617450495049,0.4242,12.857354999999998,0.67,20.307467821782176,10.1,11.02692987647131
1915-06-01,8.04,243.68961386138608,0.425,12.881602722772275,0.7,21.21675742574257,10.1,11.154262189096338
1915-07-01,8.01,242.78032425742572,0.4258,12.905850445544553,0.73,22.126047029702963,10.1,11.1136293939496
1915-08-01,8.35,253.0856064356435,0.4267,12.933129133663364,0.76,23.035336633663363,10.1,11.584831641604596
1915-09-01,8.66,262.48159900990095,0.4275,12.95737685643564,0.79,23.94462623762376,10.1,12.011570757825888
1915-10-01,9.14,274.31424999999996,0.4283,12.854353749999998,0.82,24.610249999999997,10.2,12.549076133220147
1915-11-01,9.46,281.1617621359223,0.4292,12.756303203883492,0.85,25.262949029126204,10.3,12.857714453559307
1915-12-01,9.48,281.75618446601936,0.43,12.780080097087376,0.88,26.154582524271838,10.3,12.878444602185981
1916-01-01,9.33,274.6316899038461,0.4408,12.975096346153842,0.9342,27.49849139423076,10.4,12.543563692516168
1916-02-01,9.2,270.8050961538461,0.4517,13.295941514423074,0.9883,29.090943100961532,10.4,12.354652326458789
1916-03-01,9.17,267.35134999999997,0.4625,13.484187499999997,1.042,30.379509999999993,10.5,12.177052795748478
1916-04-01,9.07,261.9411721698113,0.4733,13.668881674528299,1.097,31.681308254716978,10.6,11.906481776593179
1916-05-01,9.27,265.21513317757007,0.4842,13.852984626168222,1.151,32.93016378504673,10.7,12.026256671905157
1916-06-01,9.36,265.3104999999999,0.495,14.030843749999995,1.205,34.15589236111111,10.8,11.995961222946578
1916-07-01,9.23,261.6256319444444,0.5058,14.336971249999998,1.259,35.686529861111104,10.8,11.791165275254547
1916-08-01,9.3,261.19135321100913,0.5167,14.511566903669722,1.313,36.875725458715586,10.9,11.73208263887416
1916-09-01,9.68,266.9652432432432,0.5275,14.54795101351351,1.368,37.72814594594594,11.1,11.94455241750447
1916-10-01,9.98,270.3674734513274,0.5383,14.583047190265484,1.422,38.523301327433614,11.3,12.045741763370797
1916-11-01,10.21,271.7879804347826,0.5492,14.61958460869565,1.476,39.29079913043478,11.5,12.053230403230497
1916-12-01,9.8,258.6249568965517,0.56,14.778568965517241,1.53,40.37716163793103,11.6,11.41355918884949
1917-01-01,9.57,250.39659615384613,0.5708,14.93483564102564,1.509,39.48259807692307,11.7,10.992361427383424
1917-02-01,9.03,230.36094374999993,0.5817,14.839530562499997,1.488,37.95980999999999,12.0,10.063187738735728
1917-03-01,9.31,237.50391874999994,0.5925,15.1150453125,1.468,37.44959749999999,12.0,10.327157080107876
1917-04-01,9.17,222.79279166666663,0.6033,14.657676249999996,1.447,35.15607083333333,12.6,9.644531197281234
1917-05-01,8.86,211.89762890624993,0.6142,14.689336757812496,1.426,34.10451679687499,12.8,9.138988813373578
1917-06-01,9.04,212.8763538461538,0.625,14.717668269230767,1.405,33.08531826923076,13.0,9.148220259539583
1917-07-01,8.79,210.22349414062492,0.6358,15.205926914062497,1.384,33.10003593749999,12.8,9.003472377228805
1917-08-01,8.53,200.86673653846148,0.6467,15.22866571153846,1.363,32.09629096153846,13.0,8.57268046675378
1917-09-01,8.12,186.89889473684204,0.6575,15.13374671052631,1.343,30.911972368421043,13.3,7.950823264217066
1917-10-01,7.68,174.15253333333328,0.6683,15.154445055555552,1.322,29.977818888888887,13.5,7.387133711108147
1917-11-01,7.04,159.6398222222222,0.6792,15.401614666666664,1.301,29.501620555555547,13.5,6.753013604774308
1917-12-01,6.8,151.94649635036492,0.69,15.418100364963498,1.28,28.60169343065693,13.7,6.412593898119818
1918-01-01,7.21,157.65566249999998,0.68,14.869049999999998,1.256,27.464009999999995,14.0,6.640646028655352
1918-02-01,7.43,161.31399468085104,0.67,14.546484042553189,1.232,26.748161702127653,14.1,6.784343551630282
1918-03-01,7.28,159.1863,0.66,14.431724999999998,1.208,26.414429999999992,14.0,6.686355760455894
1918-04-01,7.21,155.43516021126757,0.65,14.01287852112676,1.183,25.503438908450704,14.2,6.520727730547159
1918-05-01,7.44,157.07507586206893,0.64,13.511834482758617,1.159,24.469087758620685,14.5,6.5823632316210805
1918-06-01,7.45,155.14624999999998,0.63,13.119749999999998,1.135,23.636374999999994,14.7,6.496291318641057
1918-07-01,7.51,152.25281622516553,0.62,12.569473509933772,1.111,22.523685596026485,15.1,6.371324093848989
1918-08-01,7.58,150.67834090909088,0.61,12.125829545454543,1.087,21.607830681818175,15.4,6.303073760914594
1918-09-01,7.54,147.0191942675159,0.6,11.699140127388532,1.063,20.726976592356685,15.7,6.149170562431681
1918-10-01,7.86,150.38513437499998,0.59,11.288451562499997,1.038,19.8600215625,16.0,6.290515321191322
1918-11-01,8.06,151.37347546012268,0.58,10.892880368098156,1.014,19.043759815950914,16.3,6.3333274953541565
1918-12-01,7.9,146.57013636363635,0.57,10.575313636363633,0.99,18.367649999999994,16.5,6.134580411283435
1919-01-01,7.85,145.64247727272726,0.5667,10.514088136363634,0.985,18.27488409090909,16.5,6.098467639950106
1919-02-01,7.88,148.90646296296296,0.5633,10.644544490740738,0.98,18.51882407407407,16.2,6.2396927713649815
1919-03-01,8.12,151.5704451219512,0.56,10.453134146341464,0.975,18.199653201219512,16.4,6.3560740048691455
1919-04-01,8.39,153.79698952095805,0.5567,10.20486103293413,0.97,17.78105838323353,16.7,6.456139555819275
1919-05-01,8.97,162.48305769230768,0.5533,10.022505665680473,0.965,17.48006139053254,16.9,6.829002261482033
1919-06-01,9.21,166.8304304733728,0.55,9.962729289940828,0.96,17.38949112426035,16.9,7.021615214784134
1919-07-01,9.51,167.31451293103447,0.5467,9.618385301724135,0.955,16.80182543103448,17.4,7.052837165446312
1919-08-01,8.87,153.409656779661,0.5433,9.396557669491525,0.95,16.4305720338983,17.7,6.4791311017052795
1919-09-01,9.01,154.95554915730335,0.54,9.287014044943819,0.945,16.25227457865168,17.8,6.558481672061264
1919-10-01,9.47,160.16726104972372,0.5367,9.07727233425414,0.94,15.89833425414364,18.1,6.794704199949302
1919-11-01,9.19,152.070904054054,0.5333,8.824745716216214,0.935,15.471849324324323,18.5,6.467022574133132
1919-12-01,8.92,144.4792222222222,0.53,8.584527777777778,0.93,15.063416666666665,18.9,6.160717033799176
1920-01-01,8.83,140.05729663212432,0.5283,8.379645505181346,0.9192,14.57991699481865,19.3,5.9896677711394375
1920-02-01,8.1,127.1606538461538,0.5267,8.268582269230766,0.9083,14.259261961538458,19.5,5.455347649907771
1920-03-01,8.67,134.7271789340101,0.525,8.158220177664974,0.8975,13.946671637055834,19.7,5.798822727557157
1920-04-01,8.6,129.68948275862067,0.5233,7.891454224137929,0.8867,13.371588879310341,20.3,5.599858725506185
1920-05-01,8.06,119.77609951456309,0.5217,7.752753240291262,0.8758,13.014876917475725,20.6,5.188950462047495
1920-06-01,7.92,116.00621052631577,0.52,7.61656937799043,0.865,12.669870215311004,20.9,5.043639680451618
1920-07-01,7.91,116.41675600961537,0.5183,7.628167463942305,0.8542,12.571832235576919,20.8,5.080592919540795
1920-08-01,7.6,114.60931034482756,0.5167,7.791925086206896,0.8433,12.71710939655172,20.3,5.0207010779228565
1920-09-01,7.87,120.46117124999998,0.515,7.882783124999999,0.8325,12.742557187499997,20.0,5.297162770108058
1920-10-01,7.88,121.22033668341707,0.5133,7.896243505025125,0.8217,12.64045059045226,19.9,5.351177393424155
1920-11-01,7.48,115.64816666666664,0.5117,7.911385946969696,0.8108,12.535766515151511,19.8,5.126407930947925
1920-12-01,6.81,107.46022036082472,0.51,8.047681701030927,0.8,12.62381443298969,19.4,4.784241045083248
1921-01-01,7.11,114.55613289473683,0.5058,8.149436289473684,0.7575,12.204820065789471,19.0,5.122184146887374
1921-02-01,7.06,117.45979076086955,0.5017,8.34696558423913,0.715,11.895715353260869,18.4,5.274857191205047
1921-03-01,6.88,115.09055737704915,0.4975,8.322318647540982,0.6725,11.249767418032784,18.3,5.192348158684177
1921-04-01,6.91,116.86966988950273,0.4933,8.343242859116021,0.63,10.655266574585632,18.1,5.297085922739674
1921-05-01,7.12,123.14281355932202,0.4892,8.460879830508473,0.5875,10.161011652542372,17.7,5.609469225330775
1921-06-01,6.55,113.9281321022727,0.485,8.435899857954542,0.545,9.479516335227272,17.6,5.21611096098932
1921-07-01,6.53,112.93856355932202,0.4808,8.315598983050846,0.5025,8.690907838983048,17.7,5.197779361905469
1921-08-01,6.45,111.55493644067796,0.4767,8.244688093220338,0.46,7.95585593220339,17.7,5.16129482321573
1921-09-01,6.61,115.62872999999998,0.4725,8.265442499999997,0.4175,7.303327499999998,17.5,5.3775244254582555
1921-10-01,6.7,117.20309999999998,0.4683,8.191971899999999,0.375,6.559874999999999,17.5,5.4792576780533455
1921-11-01,7.06,124.21035344827585,0.4642,8.166918706896551,0.3325,5.849850215517241,17.4,5.83819699320089
1921-12-01,7.31,129.35214017341036,0.46,8.139806358381502,0.29,5.13161705202312,17.3,6.11415884941727
1922-01-01,7.3,132.23258875739646,0.4642,8.408543520710058,0.3233,5.856273417159763,16.9,6.287087290347128
1922-02-01,7.46,135.1308372781065,0.4683,8.482811139053254,0.3567,6.461282795857988,16.9,6.4613058726969825
1922-03-01,7.74,141.88184730538921,0.4725,8.661391841317364,0.39,7.149085329341316,16.7,6.82138724903604
1922-04-01,8.21,150.4974116766467,0.4767,8.738381991017963,0.4233,7.759507230538921,16.7,7.273253390209859
1922-05-01,8.53,156.36332784431136,0.4808,8.813539041916167,0.4567,8.37176223053892,16.7,7.593467258919378
1922-06-01,8.45,154.89684880239517,0.485,8.890529191616764,0.49,8.982184131736526,16.7,7.557987351755127
1922-07-01,8.51,155.06815624999996,0.4892,8.914141249999998,0.5233,9.535507187499997,16.8,7.602095045774032
1922-08-01,8.83,162.8377003012048,0.4933,9.09715034638554,0.5567,10.266336099397588,16.6,8.020030689895775
1922-09-01,9.06,167.07922590361443,0.4975,9.174604292168672,0.59,10.880435240963852,16.6,8.265083002284303
1922-10-01,9.26,169.74494910179638,0.5017,9.196656691616766,0.6233,11.425704835329338,16.7,8.432151998761896
1922-11-01,8.8,160.35249999999996,0.5058,9.216624374999999,0.6567,11.966305312499996,16.8,7.998253772269837
1922-12-01,8.78,159.04138757396444,0.51,9.238167159763313,0.69,12.498696745562127,16.9,7.964679864939999
1923-01-01,8.9,162.17468749999998,0.5117,9.324133437499999,0.7142,13.014063124999996,16.8,8.154200483069156
1923-02-01,9.28,169.09899999999996,0.5133,9.353288437499998,0.7383,13.453210312499996,16.8,8.533360579065967
1923-03-01,9.43,171.83228124999994,0.515,9.384265624999998,0.7625,13.894179687499996,16.8,8.700737500978533
1923-04-01,9.1,164.83788461538458,0.5167,9.359531316568047,0.7867,14.25032569526627,16.9,8.372809668463814
1923-05-01,8.67,157.0488417159763,0.5183,9.388513801775145,0.8108,14.686874378698223,16.9,8.00049786759821
1923-06-01,8.34,150.18254999999996,0.52,9.3639,0.835,15.036262499999996,17.0,7.671825282673079
1923-07-01,8.06,143.4527703488372,0.5217,9.285274229651163,0.8592,15.292136511627904,17.2,7.34598511949065
1923-08-01,8.1,145.0077631578947,0.5233,9.368217587719295,0.8833,15.813007061403503,17.1,7.44178317421737
1923-09-01,8.15,145.05460029069764,0.525,9.344007994186045,0.9075,16.15178524709302,17.2,7.458183867189794
1923-10-01,8.03,142.09270664739878,0.5267,9.320078280346818,0.9317,16.486646921965313,17.3,7.317400395621481
1923-11-01,8.27,146.33956213872827,0.5283,9.348390650289016,0.9558,16.913101994219648,17.3,7.546327911916236
1923-12-01,8.55,151.2942268786127,0.53,9.3784725433526,0.98,17.341326589595372,17.3,7.809739144938745
1924-01-01,8.83,156.24889161849708,0.5317,9.408554436416182,0.9758,17.267006618497106,17.3,8.07224944603738
1924-02-01,8.87,157.86923982558136,0.5333,9.49173231104651,0.9717,17.294423938953486,17.2,8.16206622085036
1924-03-01,8.7,155.74907894736836,0.535,9.577673245614033,0.9675,17.320371710526313,17.1,8.058077044116095
1924-04-01,8.5,153.06374999999997,0.5367,9.664625249999997,0.9633,17.346624749999997,17.0,7.923620348327982
1924-05-01,8.47,152.52352499999998,0.5383,9.693437249999999,0.9592,17.272793999999998,17.0,7.899698330665295
1924-06-01,8.63,155.40472499999998,0.54,9.724049999999998,0.955,17.197162499999997,17.0,8.051676946396649
1924-07-01,9.03,161.6568026315789,0.5417,9.697617938596489,0.9508,17.021405087719295,17.1,8.377712139971836
1924-08-01,9.34,168.19004999999996,0.5433,9.783474749999998,0.9467,17.04770025,17.0,8.717418308548332
1924-09-01,9.25,165.59528508771925,0.545,9.756695175438596,0.9425,16.872816885964905,17.1,8.581670375209054
1924-10-01,9.13,162.49674854651164,0.5467,9.730226991279066,0.9383,16.6999670494186,17.2,8.419491035872428
1924-11-01,9.64,171.57378488372092,0.5483,9.758703968023253,0.9342,16.626994796511624,17.2,8.888327361250973
1924-12-01,10.16,179.78354913294794,0.55,9.732377167630055,0.93,16.456565028901732,17.3,9.310639680416376
1925-01-01,10.58,187.21554624277454,0.5542,9.806697138728323,0.9567,16.929027702312133,17.3,9.692618852254997
1925-02-01,10.67,189.90583866279067,0.5583,9.936685072674418,0.9833,17.500882020348833,17.2,9.830804722819575
1925-03-01,10.39,183.8534523121387,0.5625,9.953567557803467,1.01,17.872183526011558,17.3,9.518537538810032
1925-04-01,10.28,182.9645755813953,0.5667,10.086189200581394,1.037,18.456640552325577,17.2,9.476566787903069
1925-05-01,10.61,187.7464031791907,0.5708,10.10043797687861,1.063,18.810030780346814,17.3,9.72900769402133
1925-06-01,10.8,188.9244,0.575,10.058474999999996,1.09,19.06737,17.5,9.796386180450611
1925-07-01,11.1,191.97826271186435,0.5792,10.017460338983051,1.117,19.318893644067792,17.7,9.963993891787798
1925-08-01,11.25,194.572563559322,0.5833,10.088371228813559,1.143,19.768572457627116,17.7,10.11091845848894
1925-09-01,11.51,199.0693516949152,0.5875,10.161011652542372,1.17,20.235546610169486,17.7,10.3592476113485
1925-10-01,11.89,205.64158050847456,0.5917,10.233652076271184,1.197,20.702520762711863,17.7,10.718495997022927
1925-11-01,12.26,208.50684166666662,0.5958,10.132820249999998,1.223,20.799662916666662,18.0,10.88631744030793
1925-12-01,12.46,213.0921033519553,0.6,10.261256983240221,1.25,21.3776187150838,17.9,11.14736523913725
1926-01-01,12.65,216.34150139664803,0.6075,10.389522695530726,1.249,21.36051662011173,17.9,11.340966188506233
